game_id,home_team,away_team,posteam,Home or Away,Total EPA,Total Yards Gained,Air Yards,Turnovers,Total Rush Attempts,Total Pass Attempts,total_away_score,total_home_score,Winner,Winning Team
2019090500,CHI,GB,GB,0,-8.426707314,213,300,0,22,35,10,3,GB,1
2019090500,CHI,GB,CHI,1,-15.39337466,254,378,1,15,50,10,3,GB,0
2019090800,CAR,LA,CAR,1,-5.666049607,343,238,3,23,41,30,27,LA,0
2019090800,CAR,LA,LA,0,-1.271741809,349,273,1,32,40,30,27,LA,1
2019090801,CLE,TEN,TEN,0,8.225943901,339,145,0,28,28,43,13,TEN,1
2019090801,CLE,TEN,CLE,1,-19.00658678,346,337,3,20,43,43,13,TEN,0
2019090802,JAX,KC,KC,0,28.41966504,491,180,0,26,34,40,26,KC,1
2019090802,JAX,KC,JAX,1,12.74931272,428,219,2,16,35,40,26,KC,0
2019090803,MIA,BAL,BAL,0,51.70629528,643,262,1,46,27,59,10,BAL,1
2019090803,MIA,BAL,MIA,1,-6.458803045,200,419,2,12,35,59,10,BAL,0
2019090804,MIN,ATL,ATL,0,-13.60153783,345,360,3,17,52,12,28,MIN,0
2019090804,MIN,ATL,MIN,1,10.41340258,269,51,0,38,11,12,28,MIN,1
2019090805,NYJ,BUF,BUF,0,-4.840785608,370,324,4,25,38,17,16,BUF,1
2019090805,NYJ,BUF,NYJ,1,-4.21793161,225,223,1,21,46,17,16,BUF,0
2019090806,PHI,WAS,WAS,0,16.30110795,398,324,0,13,45,27,32,PHI,0
2019090806,PHI,WAS,PHI,1,19.79620149,438,343,0,32,40,27,32,PHI,1
2019090807,LAC,IND,IND,0,15.12911552,378,158,1,34,29,24,30,LAC,0
2019090807,LAC,IND,LAC,1,18.32442315,435,234,1,21,38,24,30,LAC,1
2019090808,SEA,CIN,SEA,1,1.023978016,232,197,2,25,24,20,21,SEA,1
2019090808,SEA,CIN,CIN,0,-3.454075693,429,381,2,14,56,20,21,SEA,0
2019090809,ARI,DET,ARI,1,5.727791661,389,567,2,23,60,27,27,Tie,0
2019090809,ARI,DET,DET,0,5.241084576,477,518,1,32,48,27,27,Tie,0
2019090810,DAL,NYG,NYG,0,10.19973223,470,314,2,17,49,17,35,DAL,0
2019090810,DAL,NYG,DAL,1,29.24474764,494,301,0,30,32,17,35,DAL,1
2019090811,TB,SF,SF,0,-9.841253958,258,156,2,32,29,31,17,SF,1
2019090811,TB,SF,TB,1,-21.60230802,295,315,4,26,39,31,17,SF,0
2019090812,NE,PIT,PIT,0,-14.26791134,308,465,1,13,48,3,33,NE,0
2019090812,NE,PIT,NE,1,20.5506723,465,280,0,29,38,3,33,NE,1
2019090900,NO,HOU,NO,1,21.87557144,510,295,1,21,44,28,30,NO,1
2019090900,NO,HOU,HOU,0,19.78946649,414,325,1,23,36,28,30,NO,0
2019090901,OAK,DEN,DEN,0,9.68249724,344,243,0,23,34,16,24,OAK,0
2019090901,OAK,DEN,OAK,1,21.65667664,357,214,0,28,26,16,24,OAK,1
2019091200,CAR,TB,CAR,1,-12.14112891,352,555,1,19,54,20,14,TB,0
2019091200,CAR,TB,TB,0,1.049662625,289,305,0,31,28,20,14,TB,1
2019091500,BAL,ARI,BAL,1,12.4231978,440,396,0,33,39,17,23,BAL,1
2019091500,BAL,ARI,ARI,0,1.885632648,351,312,0,11,44,17,23,BAL,0
2019091501,CIN,SF,SF,0,23.0192591,571,187,1,42,26,41,17,SF,1
2019091501,CIN,SF,CIN,1,-5.564585458,316,315,1,19,46,41,17,SF,0
2019091502,DET,LAC,DET,1,4.129808001,339,310,2,28,30,10,13,DET,1
2019091502,DET,LAC,LAC,0,-2.521188721,424,378,2,25,37,10,13,DET,0
2019091503,GB,MIN,GB,1,-6.518739269,335,259,2,33,36,16,21,GB,1
2019091503,GB,MIN,MIN,0,-8.61879849,421,335,4,27,33,16,21,GB,0
2019091504,HOU,JAX,HOU,1,2.178176213,263,371,0,30,33,12,13,HOU,1
2019091504,HOU,JAX,JAX,0,2.970020448,281,212,1,22,37,12,13,HOU,0
2019091505,MIA,NE,MIA,1,-38.15406825,184,478,4,15,46,43,0,NE,0
2019091505,MIA,NE,NE,0,5.78417198,379,264,1,35,30,43,0,NE,1
2019091506,NYG,BUF,NYG,1,-0.588809021,370,359,2,20,46,28,14,BUF,0
2019091506,NYG,BUF,BUF,0,9.259887069,388,269,0,34,33,28,14,BUF,1
2019091507,PIT,SEA,SEA,0,7.139308651,425,256,2,33,39,28,26,SEA,1
2019091507,PIT,SEA,PIT,1,3.178676709,261,261,1,16,36,28,26,SEA,0
2019091508,TEN,IND,IND,0,-3.28480449,288,140,2,34,31,19,17,IND,1
2019091508,TEN,IND,TEN,1,-5.130819904,243,149,0,24,32,19,17,IND,0
2019091509,WAS,DAL,WAS,1,8.239253497,255,224,0,17,38,31,21,DAL,0
2019091509,WAS,DAL,DAL,0,20.92560644,474,257,1,34,31,31,21,DAL,1
2019091510,OAK,KC,KC,0,12.95416196,467,557,1,22,46,28,10,KC,1
2019091510,OAK,KC,OAK,1,-8.554246517,307,252,2,19,41,28,10,KC,0
2019091511,DEN,CHI,CHI,0,7.025140393,273,212,0,29,27,16,14,CHI,1
2019091511,DEN,CHI,DEN,1,5.558106842,374,251,1,24,53,16,14,CHI,0
2019091512,LA,NO,NO,0,-8.265264516,244,251,1,20,37,9,27,LA,0
2019091512,LA,NO,LA,1,10.01417227,380,200,1,30,31,9,27,LA,1
2019091513,ATL,PHI,ATL,1,1.583553535,367,399,3,17,44,20,24,ATL,1
2019091513,ATL,PHI,PHI,0,-5.035037942,288,432,3,22,52,20,24,ATL,0
2019091600,NYJ,CLE,CLE,0,-1.994501259,375,344,1,21,38,23,3,CLE,1
2019091600,NYJ,CLE,NYJ,1,-20.04582827,262,165,1,24,35,23,3,CLE,0
2019091900,JAX,TEN,TEN,0,-5.107737918,340,431,0,26,49,7,20,JAX,0
2019091900,JAX,TEN,JAX,1,2.844267294,292,213,1,20,30,7,20,JAX,1
2019092200,BUF,CIN,CIN,0,-9.432133272,306,285,4,19,38,17,21,BUF,0
2019092200,BUF,CIN,BUF,1,-3.178138195,418,302,2,36,38,17,21,BUF,1
2019092201,DAL,MIA,MIA,0,-21.10232085,283,389,1,24,44,6,31,DAL,0
2019092201,DAL,MIA,DAL,1,15.35636902,476,413,1,34,33,6,31,DAL,1
2019092202,GB,DEN,DEN,0,0.050067828,310,122,2,38,34,16,27,GB,0
2019092202,GB,DEN,GB,1,9.810616827,312,258,0,23,29,16,27,GB,1
2019092203,IND,ATL,ATL,0,26.816473,397,292,1,20,34,24,27,IND,0
2019092203,IND,ATL,IND,1,23.34197918,379,206,0,24,38,24,27,IND,1
2019092204,KC,BAL,BAL,0,16.57826484,452,483,0,34,47,28,33,KC,0
2019092204,KC,BAL,KC,1,20.16658865,503,326,0,25,38,28,33,KC,1
2019092205,MIN,OAK,MIN,1,17.43702549,385,100,0,38,21,14,34,MIN,1
2019092205,MIN,OAK,OAK,0,-0.589291759,302,211,1,20,38,14,34,MIN,0
2019092206,NE,NYJ,NE,1,-0.763126287,381,305,1,27,46,14,30,NE,1
2019092206,NE,NYJ,NYJ,0,-20.29475927,105,145,2,20,27,14,30,NE,0
2019092207,PHI,DET,DET,0,6.377940327,287,294,0,28,32,27,24,DET,1
2019092207,PHI,DET,PHI,1,-5.878043868,373,405,2,30,39,27,24,DET,0
2019092208,ARI,CAR,ARI,1,-1.015689318,248,242,2,22,51,38,20,CAR,0
2019092208,ARI,CAR,CAR,0,18.46763422,413,215,1,31,28,38,20,CAR,1
2019092209,TB,NYG,NYG,0,9.474103931,386,353,2,19,42,32,31,NYG,1
2019092209,TB,NYG,TB,1,12.2055422,499,482,1,32,41,32,31,NYG,0
2019092210,LAC,HOU,HOU,0,11.78402127,376,265,1,19,36,27,20,HOU,1
2019092210,LAC,HOU,LAC,1,6.079715603,366,471,1,18,51,27,20,HOU,0
2019092211,SEA,NO,NO,0,9.295462002,265,95,0,24,27,33,27,NO,1
2019092211,SEA,NO,SEA,1,-0.216409154,514,552,2,26,50,33,27,NO,0
2019092212,SF,PIT,PIT,0,-14.14905918,239,156,2,22,29,20,24,SF,0
2019092212,SF,PIT,SF,1,-4.83939096,436,266,5,40,33,20,24,SF,1
2019092213,CLE,LA,CLE,1,-8.17110034,270,253,1,24,39,20,13,LA,0
2019092213,CLE,LA,LA,0,0.598649581,344,390,3,24,40,20,13,LA,1
2019092300,WAS,CHI,WAS,1,-13.4466912,356,251,5,21,49,31,15,CHI,0
2019092300,WAS,CHI,CHI,0,2.434891933,298,162,1,24,34,31,15,CHI,1
2019092600,GB,PHI,PHI,0,23.10717503,330,178,0,33,27,34,27,PHI,1
2019092600,GB,PHI,GB,1,16.74613743,491,374,2,20,54,34,27,PHI,0
2019092900,ATL,TEN,TEN,0,8.21597831,365,131,0,34,27,24,10,TEN,1
2019092900,ATL,TEN,ATL,1,-6.96265303,422,468,1,17,58,24,10,TEN,0
2019092901,BAL,CLE,CLE,0,21.79444706,530,225,1,29,33,40,25,CLE,1
2019092901,BAL,CLE,BAL,1,2.973149528,397,268,3,30,38,40,25,CLE,0
2019092902,BUF,NE,BUF,1,-21.98475031,375,513,4,22,49,16,10,NE,0
2019092902,BUF,NE,NE,0,-18.45559904,224,298,1,23,39,16,10,NE,1
2019092903,DET,KC,KC,0,2.582715233,438,502,3,25,42,34,30,KC,1
2019092903,DET,KC,DET,1,2.875913552,447,407,2,35,38,34,30,KC,0
2019092904,HOU,CAR,CAR,0,-9.601264604,297,278,3,28,37,16,10,CAR,1
2019092904,HOU,CAR,HOU,1,-13.59669554,264,314,2,22,40,16,10,CAR,0
2019092905,IND,OAK,OAK,0,10.3004025,377,176,1,32,32,31,24,OAK,1
2019092905,IND,OAK,IND,1,1.750875864,346,484,2,23,46,31,24,OAK,0
2019092906,MIA,LAC,MIA,1,-9.107599854,233,134,1,18,29,30,10,LAC,0
2019092906,MIA,LAC,LAC,0,20.2808264,390,232,0,33,32,30,10,LAC,1
2019092907,NYG,WAS,WAS,0,-20.84118231,176,256,4,17,31,3,24,NYG,0
2019092907,NYG,WAS,NYG,1,4.441413256,389,167,4,37,31,3,24,NYG,1
2019092908,ARI,SEA,ARI,1,-3.547931061,321,168,1,23,36,27,10,SEA,0
2019092908,ARI,SEA,SEA,0,11.56123969,340,213,0,27,32,27,10,SEA,1
2019092909,LA,TB,LA,1,2.150066134,518,472,4,11,71,54,40,TB,0
2019092909,LA,TB,TB,0,21.78963808,464,393,1,30,43,54,40,TB,1
2019092910,CHI,MIN,MIN,0,-10.50440285,222,203,2,16,43,6,16,CHI,0
2019092910,CHI,MIN,CHI,1,2.598538756,269,205,0,33,34,6,16,CHI,1
2019092911,DEN,JAX,JAX,0,14.72929775,455,346,0,38,38,26,24,JAX,1
2019092911,DEN,JAX,DEN,1,6.344760603,371,299,1,16,38,26,24,JAX,0
2019092912,NO,DAL,NO,1,-1.711438126,266,195,1,27,35,10,12,NO,1
2019092912,NO,DAL,DAL,0,-7.598379261,257,316,3,20,34,10,12,NO,0
2019093000,PIT,CIN,PIT,1,8.436535067,326,80,1,25,31,3,27,PIT,1
2019093000,PIT,CIN,CIN,0,-24.6603646,175,205,2,19,45,3,27,PIT,0
2019100300,SEA,LA,LA,0,12.32700596,477,411,2,19,49,29,30,SEA,0
2019100300,SEA,LA,SEA,1,14.39341718,429,259,1,43,25,29,30,SEA,1
2019100600,CAR,JAX,CAR,1,8.986638761,445,176,0,27,34,27,34,CAR,1
2019100600,CAR,JAX,JAX,0,3.552651709,507,404,3,31,46,27,34,CAR,0
2019100601,CIN,ARI,ARI,0,15.48737094,514,247,0,38,33,26,23,ARI,1
2019100601,CIN,ARI,CIN,1,10.86789021,370,174,0,23,39,26,23,ARI,0
2019100602,HOU,ATL,HOU,1,38.12080902,592,286,0,34,33,32,53,HOU,1
2019100602,HOU,ATL,ATL,0,13.19638335,375,366,2,20,49,32,53,HOU,0
2019100603,NO,TB,NO,1,17.0596945,457,260,1,31,36,24,31,NO,1
2019100603,NO,TB,TB,0,6.192955822,252,233,0,22,33,24,31,NO,0
2019100604,NYG,MIN,MIN,0,21.45171454,490,217,1,34,30,28,10,MIN,1
2019100604,NYG,MIN,NYG,1,-10.09459626,211,385,1,20,42,28,10,MIN,0
2019100605,OAK,CHI,CHI,0,1.602233149,236,210,2,17,34,21,24,OAK,0
2019100605,OAK,CHI,OAK,1,3.361328568,398,99,2,39,32,21,24,OAK,1
2019100606,PHI,NYJ,PHI,1,-2.308147773,265,202,0,29,30,6,31,PHI,1
2019100606,PHI,NYJ,NYJ,0,-32.17665527,128,128,4,19,37,6,31,PHI,0
2019100607,PIT,BAL,PIT,1,-3.135110134,269,268,2,19,32,26,23,BAL,0
2019100607,PIT,BAL,BAL,0,-3.33066348,277,216,3,40,33,26,23,BAL,1
2019100608,TEN,BUF,TEN,1,-13.17387248,252,96,0,27,27,14,7,BUF,0
2019100608,TEN,BUF,BUF,0,-1.431334437,313,139,1,27,36,14,7,BUF,1
2019100609,WAS,NE,WAS,1,-17.04582113,223,177,2,20,33,33,7,NE,0
2019100609,WAS,NE,NE,0,13.13294474,442,329,1,27,47,33,7,NE,1
2019100610,LAC,DEN,DEN,0,-6.139453994,350,128,2,32,23,20,13,DEN,1
2019100610,LAC,DEN,LAC,1,-24.9046216,246,212,3,16,48,20,13,DEN,0
2019100611,DAL,GB,GB,0,13.07141479,335,247,0,29,36,34,24,GB,1
2019100611,DAL,GB,DAL,1,0.59732274,563,470,3,21,47,34,24,GB,0
2019100612,KC,IND,IND,0,0.292469211,331,148,1,45,29,19,13,IND,1
2019100612,KC,IND,KC,1,-3.051329702,324,463,1,14,43,19,13,IND,0
2019100700,SF,CLE,CLE,0,-19.91290003,180,247,3,18,28,3,31,SF,0
2019100700,SF,CLE,SF,1,12.27472583,446,181,1,40,31,3,31,SF,1
2019101000,NE,NYG,NYG,0,-34.07860923,213,290,4,16,32,14,35,NE,0
2019101000,NE,NYG,NE,1,-8.738463722,427,280,2,34,44,14,35,NE,1
2019101300,TB,CAR,TB,1,-6.115786043,411,596,7,15,62,37,26,CAR,0
2019101300,TB,CAR,CAR,0,7.824353956,268,303,1,29,34,37,26,CAR,1
2019101301,BAL,CIN,BAL,1,19.69881334,497,253,1,43,34,17,23,BAL,1
2019101301,BAL,CIN,CIN,0,5.321867435,250,298,1,14,41,17,23,BAL,0
2019101302,CLE,SEA,SEA,0,11.81985174,454,280,1,39,36,32,28,SEA,1
2019101302,CLE,SEA,CLE,1,0.764428067,408,353,4,24,38,32,28,SEA,0
2019101303,JAX,NO,NO,0,3.694399355,326,213,0,26,39,13,6,NO,1
2019101303,JAX,NO,JAX,1,-10.89456681,226,220,1,24,31,13,6,NO,0
2019101304,KC,HOU,KC,1,0.993111512,309,350,2,11,36,31,24,HOU,0
2019101304,KC,HOU,HOU,0,14.18386193,474,369,3,41,43,31,24,HOU,1
2019101305,MIA,WAS,MIA,1,-7.142091996,271,266,2,21,49,17,16,WAS,0
2019101305,MIA,WAS,WAS,0,-5.269143698,311,222,0,33,25,17,16,WAS,1
2019101306,MIN,PHI,MIN,1,12.67001184,447,374,2,35,30,20,38,MIN,1
2019101306,MIN,PHI,PHI,0,-2.0430746,400,375,3,22,43,20,38,MIN,0
2019101307,ARI,ATL,ATL,0,23.33372028,444,319,0,25,38,33,34,ARI,0
2019101307,ARI,ATL,ARI,1,23.81329688,442,246,0,29,37,33,34,ARI,1
2019101308,LA,SF,LA,1,-26.41785715,157,155,1,22,28,20,7,SF,0
2019101308,LA,SF,SF,0,-11.94108522,331,145,2,41,35,20,7,SF,1
2019101309,DEN,TEN,DEN,1,-2.882019456,270,216,1,30,29,0,16,DEN,1
2019101309,DEN,TEN,TEN,0,-23.04690623,204,320,3,21,41,0,16,DEN,0
2019101310,NYJ,DAL,DAL,0,8.071341224,399,341,0,34,42,22,24,NYJ,0
2019101310,NYJ,DAL,NYJ,1,10.46797369,382,265,1,20,34,22,24,NYJ,1
2019101311,LAC,PIT,LAC,1,-5.840497746,348,481,3,14,45,24,17,PIT,0
2019101311,LAC,PIT,PIT,0,3.374619194,256,91,1,36,20,24,17,PIT,1
2019101400,GB,DET,GB,1,0.528805248,447,376,2,29,40,22,23,GB,1
2019101400,GB,DET,DET,0,9.922570658,299,328,1,20,35,22,23,GB,0
2019101700,DEN,KC,KC,0,0.026566326,271,172,0,27,31,30,6,KC,1
2019101700,DEN,KC,DEN,1,-27.52437548,205,314,1,22,43,30,6,KC,0
2019102000,ATL,LA,LA,0,16.22110661,381,376,1,36,38,37,10,LA,1
2019102000,ATL,LA,ATL,1,-12.6178992,224,272,2,15,38,37,10,LA,0
2019102001,BUF,MIA,MIA,0,6.280419021,381,335,2,30,36,21,31,BUF,0
2019102001,BUF,MIA,BUF,1,21.22979151,307,272,0,24,28,21,31,BUF,1
2019102002,CIN,JAX,CIN,1,-11.06329662,291,301,4,20,45,27,17,JAX,0
2019102002,CIN,JAX,JAX,0,5.56620025,462,186,0,44,35,27,17,JAX,1
2019102003,DET,MIN,MIN,0,31.5936701,504,379,0,37,34,42,30,MIN,1
2019102003,DET,MIN,DET,1,19.32310742,433,386,1,20,48,42,30,MIN,0
2019102004,GB,OAK,GB,1,31.72323822,481,268,0,23,32,24,42,GB,1
2019102004,GB,OAK,OAK,0,14.76437937,484,318,2,31,31,24,42,GB,0
2019102005,IND,HOU,HOU,0,4.792453217,391,268,2,24,37,23,30,IND,0
2019102005,IND,HOU,IND,1,8.885654769,383,302,1,26,41,23,30,IND,1
2019102006,NYG,ARI,ARI,0,2.310008904,245,112,0,38,23,27,21,ARI,1
2019102006,NYG,ARI,NYG,1,-12.40347219,263,265,3,22,43,27,21,ARI,0
2019102007,WAS,SF,SF,0,-7.151433461,283,187,1,39,23,9,0,SF,1
2019102007,WAS,SF,WAS,1,-17.08230785,154,49,1,26,15,9,0,SF,0
2019102008,TEN,LAC,TEN,1,12.73367768,403,212,1,29,32,20,23,TEN,1
2019102008,TEN,LAC,LAC,0,6.373708758,365,426,1,21,39,20,23,TEN,0
2019102009,CHI,NO,CHI,1,-8.889055318,254,338,2,7,57,36,25,NO,0
2019102009,CHI,NO,NO,0,10.27934814,424,282,0,35,39,36,25,NO,1
2019102010,SEA,BAL,SEA,1,-14.22735626,347,459,2,26,42,30,16,BAL,0
2019102010,SEA,BAL,BAL,0,5.85541779,340,201,0,35,21,30,16,BAL,1
2019102011,DAL,PHI,DAL,1,16.82552585,402,225,1,36,30,10,37,DAL,1
2019102011,DAL,PHI,PHI,0,-17.0503374,283,323,4,28,29,10,37,DAL,0
2019102100,NYJ,NE,NE,0,1.210715377,323,223,2,34,45,33,0,NE,1
2019102100,NYJ,NE,NYJ,1,-32.7124447,154,398,5,20,33,33,0,NE,0
2019102400,MIN,WAS,MIN,1,10.03372556,434,95,1,38,29,9,19,MIN,1
2019102400,MIN,WAS,WAS,0,-6.260880942,216,139,2,16,25,9,19,MIN,0
2019102700,ATL,SEA,ATL,1,5.13570308,512,352,3,17,56,27,20,SEA,0
2019102700,ATL,SEA,SEA,0,21.72334219,322,202,0,33,22,27,20,SEA,1
2019102701,BUF,PHI,BUF,1,-5.984282614,253,317,2,20,38,31,13,PHI,0
2019102701,BUF,PHI,PHI,0,8.415201312,373,121,0,42,27,31,13,PHI,1
2019102702,CHI,LAC,CHI,1,-9.467030896,388,308,2,38,39,17,16,LAC,0
2019102702,CHI,LAC,LAC,0,-5.932443342,231,259,1,12,30,17,16,LAC,1
2019102703,DET,NYG,DET,1,7.979266027,375,390,2,25,36,26,31,DET,1
2019102703,DET,NYG,NYG,0,-0.93767881,370,307,1,24,45,26,31,DET,0
2019102704,HOU,OAK,HOU,1,20.93880482,388,266,0,32,42,24,27,HOU,1
2019102704,HOU,OAK,OAK,0,15.96764034,378,278,0,23,30,24,27,HOU,0
2019102705,JAX,NYJ,JAX,1,4.471678557,389,223,1,34,36,15,29,JAX,1
2019102705,JAX,NYJ,NYJ,0,-11.81651564,215,233,3,14,39,15,29,JAX,0
2019102706,LA,CIN,CIN,0,7.847208424,401,429,0,22,57,10,24,LA,0
2019102706,LA,CIN,LA,1,21.72577255,470,321,0,26,31,10,24,LA,1
2019102707,NO,ARI,ARI,0,-10.89914507,237,289,0,11,38,9,31,NO,0
2019102707,NO,ARI,NO,1,15.94814789,510,228,1,29,43,9,31,NO,1
2019102708,TEN,TB,TB,0,-4.432290153,391,458,4,30,48,23,27,TEN,0
2019102708,TEN,TB,TEN,1,-2.258149264,246,337,1,21,36,23,27,TEN,1
2019102709,SF,CAR,SF,1,13.71270675,388,117,1,38,26,13,51,SF,1
2019102709,SF,CAR,CAR,0,-29.3904595,232,326,3,20,44,13,51,SF,0
2019102710,IND,DEN,DEN,0,-8.223127558,279,167,0,28,35,13,15,IND,0
2019102710,IND,DEN,IND,1,1.606492298,318,205,1,31,29,13,15,IND,1
2019102711,NE,CLE,NE,1,-0.65515036,318,253,0,27,39,13,27,NE,1
2019102711,NE,CLE,CLE,0,-11.9020736,310,252,3,22,36,13,27,NE,0
2019102712,KC,GB,KC,1,4.55680388,337,200,1,20,38,31,24,GB,0
2019102712,KC,GB,GB,0,14.78877343,374,236,0,26,38,31,24,GB,1
2019102800,PIT,MIA,MIA,0,-11.65454946,230,299,4,19,38,14,27,PIT,0
2019102800,PIT,MIA,PIT,1,5.155645915,394,479,1,29,38,14,27,PIT,1
2019103100,ARI,SF,ARI,1,15.18629311,359,104,0,23,28,28,25,SF,0
2019103100,ARI,SF,SF,0,17.79603215,411,261,0,31,38,28,25,SF,1
2019110300,JAX,HOU,HOU,0,9.664581983,410,181,1,34,29,26,3,HOU,1
2019110300,JAX,HOU,JAX,1,-16.58640434,356,381,4,15,51,26,3,HOU,0
2019110301,BUF,WAS,BUF,1,9.965367002,268,201,0,39,22,9,24,BUF,1
2019110301,BUF,WAS,WAS,0,-7.399399386,243,144,0,23,26,9,24,BUF,0
2019110302,CAR,TEN,CAR,1,8.291291491,370,399,1,33,35,20,30,CAR,1
2019110302,CAR,TEN,TEN,0,-4.500147929,431,304,3,21,44,20,30,CAR,0
2019110303,KC,MIN,KC,1,8.909682875,377,292,1,18,40,23,26,KC,1
2019110303,KC,MIN,MIN,0,2.53716805,289,240,0,27,38,23,26,KC,0
2019110304,MIA,NYJ,MIA,1,4.605975462,316,343,0,24,40,18,26,MIA,1
2019110304,MIA,NYJ,NYJ,0,-3.492167584,321,269,1,21,42,18,26,MIA,0
